"year","catch","index"
1,4046.70110358585,621.397116816782
2,4362.41375518035,421.307356772297
3,4566.36386391372,366.383944263671
4,3898.25153381127,635.744943874186
5,3584.54275341195,326.187171324606
6,2081.6422067954,330.970431449529
7,1896.96477141687,330.974446299549
8,1867.33549880048,279.775816166264
9,2018.12009379921,342.00460720604
10,2959.77695484981,366.993699050612
11,4620.91359327555,378.54478373964
12,5017.45776680151,446.973385843616
13,4815.77155055164,490.599981368238
14,3833.91956086567,730.209458286121
15,2427.64098766342,487.260840054847
16,2488.01652369911,450.187515568384
17,1601.03845930485,495.916438508586
18,1995.13399591408,463.718279104307
19,2689.25028899596,417.431301253759
20,2580.17030106725,324.162586493661
21,4290.12461670737,269.83103898864
22,4671.8410832178,363.592413161543
23,4098.24389331067,285.461783384151
24,3437.24604273319,277.957429950188
25,2539.81464424356,335.14325412005
26,2106.99222061753,379.579885578909
27,1600.85987117295,522.79694686709
28,1984.78012584539,499.421173955909
29,2741.110112577,594.173702503268
30,2620.96264858668,505.276698691591
31,4327.15910960947,547.975420987766
32,5179.33776376499,469.672806167604
33,4957.95440370214,448.941516977611
34,3615.75138615116,341.838005706917
35,2945.56149789611,285.253931131109
36,2160.44141876056,427.039668507552
37,1960.13905311418,329.198872336485
38,1785.0966996897,249.351866028675
39,2449.90545383403,288.766965239272
40,2871.36244098324,290.666914334983
